Sample,Assay,Day_Post_Stim,Media,Treatment,Fold_Change,Batch,raw_OD,,
1,ALP,3,CM,CTRL,0.493925258,2,0.1927,,
2,ALP,3,CM,CTRL,0.77536269,2,0.3025,,
3,ALP,3,CM,CTRL,0.612087968,2,0.2388,,
4,ALP,3,CM,CTRL,2.550110217,2,0.9949,,
5,ALP,3,CM,CTRL,0.568513867,2,0.2218,,
6,ALP,3,CM,CTRL,0.814323064,2,0.3177,,
7,ALP,3,CM,CTRL,2.076690419,2,0.8102,,
8,ALP,3,CM,CTRL,1.202132568,2,0.469,,
9,ALP,3,CM,NC10,1.791664531,2,0.699,,
10,ALP,3,CM,NC10,0.625672835,2,0.2441,,
11,ALP,3,CM,NC10,0.440867381,2,0.172,,
12,ALP,3,CM,NC10,0.497513713,2,0.1941,,
13,ALP,3,CM,NC10,0.653098888,2,0.2548,,
14,ALP,3,CM,NC10,0.750243502,2,0.2927,,
15,ALP,3,CM,NC10,0.509304352,2,0.1987,,
16,ALP,3,CM,NC10,0.57979187,2,0.2262,,
17,ALP,3,CM,CTRL,0.927212428,3,0.133,,
18,ALP,3,CM,CTRL,0.910455577,3,0.130,,
19,ALP,3,CM,CTRL,1.10804678,3,0.159,,
20,ALP,3,CM,CTRL,1.054285216,3,0.151,,
21,ALP,3,CM,CTRL,1.057078024,3,0.151,,
22,ALP,3,CM,CTRL,1.168092163,3,0.167,,
23,ALP,3,CM,CTRL,1.027753535,3,0.147,,
24,ALP,3,CM,CTRL,1.080118694,3,0.155,,
25,ALP,3,CM,NC10,1.306336184,3,0.187,,
26,ALP,3,CM,NC10,1.126200035,3,0.161,,
27,ALP,3,CM,NC10,1.084307907,3,0.155,,
28,ALP,3,CM,NC10,1.126200035,3,0.161,,
29,ALP,3,CM,NC10,1.041019375,3,0.149,,
30,ALP,3,CM,NC10,1.105952173,3,0.158,,
31,ALP,3,CM,NC10,1.266538663,3,0.181,,
32,ALP,3,CM,NC10,1.554896142,3,0.223,,
33,ALP,3,CM,CTRL,1.053281,4,0.128,,
34,ALP,3,CM,CTRL,1.073853,4,0.1305,,
35,ALP,3,CM,CTRL,0.955359,4,0.1161,,
36,ALP,3,CM,CTRL,0.899403,4,0.1093,,
37,ALP,3,CM,CTRL,1.059041,4,0.1287,,
38,ALP,3,CM,CTRL,1.070562,4,0.1301,,
39,ALP,3,CM,CTRL,0.968525,4,0.1177,,
40,ALP,3,CM,CTRL,0.919975,4,0.1118,,
41,ALP,3,CM,NC10,1.122402798,4,0.1364,,
42,ALP,3,CM,NC10,1.101830899,4,0.1339,,
43,ALP,3,CM,NC10,1.002262909,4,0.1218,,
44,ALP,3,CM,NC10,1.142151821,4,0.1388,,
45,ALP,3,CM,NC10,1.1462662,4,0.1393,,
46,ALP,3,CM,NC10,1.133100185,4,0.1377,,
47,ALP,3,CM,NC10,1.05081259,4,0.1277,,
48,ALP,3,CM,NC10,1.179181238,4,0.1433,,
49,ALP,3,CM,NC100,0.772030553,2,0.3012,,
50,ALP,3,CM,NC100,0.807402471,2,0.315,,
51,ALP,3,CM,NC100,0.755882504,2,0.2949,,
52,ALP,3,CM,NC100,0.526990311,2,0.2056,,
53,ALP,3,CM,NC100,0.889424309,2,0.347,,
54,ALP,3,CM,NC100,1.013738658,2,0.3955,,
55,ALP,3,CM,NC100,0.969139283,2,0.3781,,
56,ALP,3,CM,NC100,0.653611524,2,0.255,,
57,ALP,3,CM,NC100,1.269331471,3,0.182,,
58,ALP,3,CM,NC100,1.556990749,3,0.223,,
59,ALP,3,CM,NC100,1.349624716,3,0.193,,
60,ALP,3,CM,NC100,1.680572526,3,0.241,,
61,ALP,3,CM,NC100,1.41316111,3,0.202,,
62,ALP,3,CM,NC100,1.694536568,3,0.243,,
63,ALP,3,CM,NC100,1.927037877,3,0.276,,
64,ALP,3,CM,NC100,2.583347879,3,0.370,,
65,ALP,3,CM,NC100,2.445587328,4,0.2972,,
66,ALP,3,CM,NC100,3.069327299,4,0.373,,
67,ALP,3,CM,NC100,2.783789344,4,0.3383,,
68,ALP,3,CM,NC100,2.596996503,4,0.3156,,
69,ALP,3,CM,NC100,2.322155935,4,0.2822,,
70,ALP,3,CM,NC100,2.847150792,4,0.346,,
71,ALP,3,CM,NC100,2.451347459,4,0.2979,,
72,ALP,3,CM,NC100,2.775560584,4,0.3373,,
73,ALP,3,CM,NC200,1.069645662,3,0.1532,,
74,ALP,3,CM,NC200,1.156222726,3,0.1656,,
75,ALP,3,CM,NC200,1.963344388,3,0.2812,,
76,ALP,3,CM,NC200,2.740443358,3,0.3925,,
77,ALP,3,CM,NC200,1.89492058,3,0.2714,,
78,ALP,3,CM,NC200,2.547739571,3,0.3649,,
79,ALP,3,CM,NC200,1.966137197,3,0.2816,,
80,ALP,3,CM,NC200,2.785826497,3,0.399,,
81,ALP,3,CM,NC200,5.012960296,4,0.6092,,
82,ALP,3,CM,NC200,3.814852911,4,0.4636,,
83,ALP,3,CM,NC200,4.455050401,4,0.5414,,
84,ALP,3,CM,NC200,2.217650689,4,0.2695,,
85,ALP,3,CM,NC200,4.47150792,4,0.5434,,
86,ALP,3,CM,NC200,4.804772681,4,0.5839,,
87,ALP,3,CM,NC200,3.891380374,4,0.4729,,
88,ALP,3,CM,NC200,4.572721662,4,0.5557,,
89,ALP,3,CM,NC200,3.284097922,4,0.3991,,
90,ALP,3,CM,NC200,3.042995268,4,0.3698,,
91,ALP,3,CM,NC200,3.456901872,4,0.4201,,
92,ALP,3,CM,NC200,2.066241514,4,0.2511,,
93,ALP,3,CM,NC200,2.875128574,4,0.3494,,
94,ALP,3,CM,NC200,3.715284921,4,0.4515,,
95,ALP,3,CM,NC200,3.509565933,4,0.4265,,
96,ALP,3,CM,NC200,4.618802715,4,0.5613,,
97,ALP,3,CM,P30,0.352181268,2,0.1374,,
98,ALP,3,CM,P30,0.596196237,2,0.2326,,
99,ALP,3,CM,P30,0.700517763,2,0.2733,,
100,ALP,3,CM,P30,1.223919619,2,0.4775,,
101,ALP,3,CM,P30,0.38704055,2,0.151,,
102,ALP,3,CM,P30,1.763213206,2,0.6879,,
103,ALP,3,CM,P30,0.868149895,2,0.3387,,
104,ALP,3,CM,P30,1.190598247,2,0.4645,,
105,ALP,3,CM,P30,1.156222726,3,0.166,,
106,ALP,3,CM,P30,1.209286088,3,0.173,,
107,ALP,3,CM,P30,1.176470588,3,0.169,,
108,ALP,3,CM,P30,1.340548089,3,0.192,,
109,ALP,3,CM,P30,1.123407226,3,0.161,,
110,ALP,3,CM,P30,1.224646535,3,0.175,,
111,ALP,3,CM,P30,1.177866992,3,0.169,,
112,ALP,3,CM,P30,1.366381567,3,0.196,,
113,ALP,3,CM,P30,1.124871426,4,0.1367,,
114,ALP,3,CM,P30,1.238428307,4,0.1505,,
115,ALP,3,CM,P30,0.998971405,4,0.1214,,
116,ALP,3,CM,P30,1.080436124,4,0.1313,,
117,ALP,3,CM,P30,1.126517178,4,0.1369,,
118,ALP,3,CM,P30,1.240074059,4,0.1507,,
119,ALP,3,CM,P30,0.963587739,4,0.1171,,
120,ALP,3,CM,P30,1.017074676,4,0.1236,,
121,ALP,3,CM,P100,0.46726816,2,0.252,,
122,ALP,3,CM,P100,0.643102476,2,0.141,,
123,ALP,3,CM,P100,0.60311683,2,0.213,,
124,ALP,3,CM,P100,0.545188907,2,0.141,,
125,ALP,3,CM,P100,1.019890296,2,0.245,,
126,ALP,3,CM,P100,0.748192956,2,0.143,,
127,ALP,3,CM,P100,0.926077818,2,0.214,,
128,ALP,3,CM,P100,0.747424002,2,0.142,,
129,ALP,3,CM,P100,1.139683193,4,0.1385,,
130,ALP,3,CM,P100,0.976753754,4,0.1187,,
131,ALP,3,CM,P100,1.022834808,4,0.1243,,
132,ALP,3,CM,P100,1.099362271,4,0.1336,,
133,ALP,3,CM,P100,1.062332853,4,0.1291,,
134,ALP,3,CM,P100,1.074675993,4,0.1306,,
135,ALP,3,CM,P100,1.130631557,4,0.1374,,
136,ALP,3,CM,P100,1.310841391,4,0.1593,,
137,ALP,3,CM,P100,1.144620448,4,0.1391,,
138,ALP,3,CM,P100,1.01213742,4,0.123,,
139,ALP,3,CM,P100,1.045052458,4,0.127,,
140,ALP,3,CM,P100,1.170129603,4,0.1422,,
141,ALP,3,CM,P100,1.082081876,4,0.1315,,
142,ALP,3,CM,P100,1.072207365,4,0.1303,,
143,ALP,3,CM,P100,1.147089076,4,0.1394,,
144,ALP,3,CM,P100,1.297675375,4,0.1577,,
145,ALP,3,CM,NC10P30,0.472650843,2,0.1844,,
146,ALP,3,CM,NC10P30,0.482903573,2,0.1884,,
147,ALP,3,CM,NC10P30,0.44830061,2,0.1749,,
148,ALP,3,CM,NC10P30,0.790229149,2,0.3083,,
149,ALP,3,CM,NC10P30,0.472907162,2,0.1845,,
150,ALP,3,CM,NC10P30,0.4818783,2,0.188,,
151,ALP,3,CM,NC10P30,0.454964884,2,0.1775,,
152,ALP,3,CM,NC10P30,0.731019634,2,0.2852,,
153,ALP,3,CM,NC10P30,0.937255709,4,0.1139,,
154,ALP,3,CM,NC10P30,1.248302818,4,0.1517,,
155,ALP,3,CM,NC10P30,1.348693684,4,0.1639,,
156,ALP,3,CM,NC10P30,0.994857025,4,0.1209,,
157,ALP,3,CM,NC10P30,0.943838716,4,0.1147,,
158,ALP,3,CM,NC10P30,0.8862374,4,0.1077,,
159,ALP,3,CM,NC10P30,0.968524995,4,0.1177,,
160,ALP,3,CM,NC10P30,1.164369471,4,0.1415,,
161,ALP,3,CM,NC10P30,0.875540012,4,0.1064,,
162,ALP,3,CM,NC10P30,1.114174038,4,0.1354,,
163,ALP,3,CM,NC10P30,1.194815882,4,0.1452,,
164,ALP,3,CM,NC10P30,0.936432833,4,0.1138,,
165,ALP,3,CM,NC10P30,0.936432833,4,0.1138,,
166,ALP,3,CM,NC10P30,0.868957005,4,0.1056,,
167,ALP,3,CM,NC10P30,0.914215182,4,0.1111,,
168,ALP,3,CM,NC10P30,1.139683193,4,0.1385,,
169,ALP,3,CM,NC10P100,0.64540934,2,0.252,,
170,ALP,3,CM,NC10P100,0.361665043,2,0.141,,
171,ALP,3,CM,NC10P100,0.545701543,2,0.213,,
172,ALP,3,CM,NC10P100,0.360896089,2,0.141,,
173,ALP,3,CM,NC10P100,0.627723381,2,0.245,,
174,ALP,3,CM,NC10P100,0.367304045,2,0.143,,
175,ALP,3,CM,NC10P100,0.548264725,2,0.214,,
176,ALP,3,CM,NC10P100,0.364228226,2,0.142,,
177,ALP,3,CM,NC10P100,0.988274018,4,0.1201,,
178,ALP,3,CM,NC10P100,0.880477268,4,0.107,,
179,ALP,3,CM,NC10P100,0.797366797,4,0.0969,,
180,ALP,3,CM,NC10P100,0.794898169,4,0.0966,,
181,ALP,3,CM,NC10P100,0.898580539,4,0.1092,,
182,ALP,3,CM,NC10P100,0.775149146,4,0.0942,,
183,ALP,3,CM,NC10P100,0.672289652,4,0.0817,,
184,ALP,3,CM,NC10P100,0.740588356,4,0.09,,
185,ALP,3,CM,NC10P100,0.988274018,4,0.1201,,
186,ALP,3,CM,NC10P100,0.864019749,4,0.105,,
187,ALP,3,CM,NC10P100,0.800658301,4,0.0973,,
188,ALP,3,CM,NC10P100,0.798189673,4,0.097,,
189,ALP,3,CM,NC10P100,0.894466159,4,0.1087,,
190,ALP,3,CM,NC10P100,0.77844065,4,0.0946,,
191,ALP,3,CM,NC10P100,1.69923884,4,0.2065,,
192,ALP,3,CM,NC10P100,0.799012549,4,0.0971,,
193,ALP,3,CM,NC100P30,0.47752089,2,0.186,,
194,ALP,3,CM,NC100P30,0.833034295,2,0.325,,
195,ALP,3,CM,NC100P30,1.101399498,2,0.430,,
196,ALP,3,CM,NC100P30,0.774593736,2,0.302,,
197,ALP,3,CM,NC100P30,0.487517301,2,0.190,,
198,ALP,3,CM,NC100P30,0.841236479,2,0.328,,
199,ALP,3,CM,NC100P30,1.123955503,2,0.439,,
200,ALP,3,CM,NC100P30,0.761008869,2,0.297,,
201,ALP,3,CM,NC100P30,2.950010286,4,0.3585,,
202,ALP,3,CM,NC100P30,2.333676198,4,0.2836,,
203,ALP,3,CM,NC100P30,2.899814853,4,0.3524,,
204,ALP,3,CM,NC100P30,3.592676404,4,0.4366,,
205,ALP,3,CM,NC100P30,1.204690393,4,0.1464,,
206,ALP,3,CM,NC100P30,#REF!,4,0.6962,,
207,ALP,3,CM,NC100P30,3.456078996,4,0.42,,
208,ALP,3,CM,NC100P30,2.797778235,4,0.34,,
209,ALP,3,CM,NC100P30,2.654597819,4,0.3226,,
210,ALP,3,CM,NC100P30,2.406089282,4,0.2924,, 
211,ALP,3,CM,NC100P30,3.096482205,4,0.3763,,
212,ALP,3,CM,NC100P30,3.740794075,4,0.4546,,
213,ALP,3,CM,NC100P30,1.19317013,4,0.145,,
214,ALP,3,CM,NC100P30,#REF!,4,0.7539,,
215,ALP,3,CM,NC100P30,3.935815676,4,0.4783,,
216,ALP,3,CM,NC100P30,3.298086813,4,0.4008,,
217,ALP,3,CM,NC100P100,0.829958476,2,0.324,,
218,ALP,3,CM,NC100P100,0.989132106,2,0.386,,
219,ALP,3,CM,NC100P100,0.701799354,2,0.274,,
220,ALP,3,CM,NC100P100,0.718972676,2,0.281,,
221,ALP,3,CM,NC100P100,0.520326037,2,0.203,,
222,ALP,3,CM,NC100P100,1.009381248,2,0.394,,
223,ALP,3,CM,NC100P100,0.714358948,2,0.279,,
224,ALP,3,CM,NC100P100,0.731788589,2,0.286,,
225,ALP,3,CM,NC100P100,2.03661798,4,0.2475,,
226,ALP,3,CM,NC100P100,1.588973462,4,0.1931,,
227,ALP,3,CM,NC100P100,1.803744086,4,0.2192,,
228,ALP,3,CM,NC100P100,2.138654598,4,0.2599,,
229,ALP,3,CM,NC100P100,2.301584036,4,0.2797,,
230,ALP,3,CM,NC100P100,2.425015429,4,0.2947,,
231,ALP,3,CM,NC100P100,2.430775561,4,0.2954,,
232,ALP,3,CM,NC100P100,2.704793252,4,0.3287,,
233,ALP,3,CM,NC100P100,2.089282041,4,0.2539,,
234,ALP,3,CM,NC100P100,1.677021189,4,0.2038,,
235,ALP,3,CM,NC100P100,1.895083316,4,0.2303,,
236,ALP,3,CM,NC100P100,2.367414112,4,0.2877,,
237,ALP,3,CM,NC100P100,2.511417404,4,0.3052,,
238,ALP,3,CM,NC100P100,2.499897141,4,0.3038,,
239,ALP,3,CM,NC100P100,2.522937667,4,0.3066,,
240,ALP,3,CM,NC100P100,2.714667764,4,0.3299,,
241,ALP,3,DM,CTRL,1,2,0.5523,,
242,ALP,3,DM,CTRL,0.827,2,0.457,,
243,ALP,3,DM,CTRL,0.989,2,0.5464,,
244,ALP,3,DM,CTRL,2.55,2,0.6023,,
245,ALP,3,DM,CTRL,0.569,2,0.5686,,
246,ALP,3,DM,CTRL,0.814,2,0.4776,,
247,ALP,3,DM,CTRL,2.077,2,0.5859,,
248,ALP,3,DM,CTRL,1.202,2,0.6283,,
249,ALP,3,DM,NC10,0.663226507,2,0.3663,,
250,ALP,3,DM,NC10,0.348180337,2,0.1923,,
251,ALP,3,DM,NC10,0.736375158,2,0.4067,,
252,ALP,3,DM,NC10,0.697628101,2,0.3853,,
253,ALP,3,DM,NC10,0.690747782,2,0.3815,,
254,ALP,3,DM,NC10,0.357414449,2,0.1974,,
255,ALP,3,DM,NC10,0.78471845,2,0.4334,,
256,ALP,3,DM,NC10,0.729132718,2,0.4027,,
257,ALP,3,DM,NC10,0.883724533,3,0.143,,
258,ALP,3,DM,NC10,0.887442869,3,0.143,,
259,ALP,3,DM,NC10,0.8527384,3,0.138,,
260,ALP,3,DM,NC10,0.891780928,3,0.144,,
261,ALP,3,DM,NC10,0.839724223,3,0.136,,
262,ALP,3,DM,NC10,0.878147029,3,0.142,,
263,ALP,3,DM,NC10,0.795723914,3,0.128,,
264,ALP,3,DM,NC10,0.849639786,3,0.137,,
265,ALP,3,DM,NC10,0.886304641,4,0.1067,,
266,ALP,3,DM,NC10,1.085660887,4,0.1307,,
267,ALP,3,DM,NC10,0.919530682,4,0.1107,,
268,ALP,3,DM,NC10,0.88547399,4,0.1066,,
269,ALP,3,DM,NC10,0.871352923,4,0.1049,,
270,ALP,3,DM,NC10,1.043297685,4,0.1256,,
271,ALP,3,DM,NC10,0.892949849,4,0.1075,,
272,ALP,3,DM,NC10,0.833973627,4,0.1004,,
273,ALP,3,DM,NC100,1.73892326,2,1.1533,,
274,ALP,3,DM,NC100,1.951972645,2,1.2946,,
275,ALP,3,DM,NC100,0.757056593,2,0.5021,,
276,ALP,3,DM,NC100,1.867989271,2,1.2389,,
277,ALP,3,DM,NC100,1.747819165,2,1.1592,,
278,ALP,3,DM,NC100,2.052390827,2,1.3612,,
279,ALP,3,DM,NC100,0.803948567,2,0.5332,,
280,ALP,3,DM,NC100,1.962376331,2,1.3015,,
281,ALP,3,DM,NC100,0.920288171,3,0.149,,
282,ALP,3,DM,NC100,1.042373538,3,0.168,,
283,ALP,3,DM,NC100,1.099388024,3,0.177,,
284,ALP,3,DM,NC100,1.304516229,3,0.211,,
285,ALP,3,DM,NC100,0.951274305,3,0.154,,
286,ALP,3,DM,NC100,1.119219149,3,0.181,,
287,ALP,3,DM,NC100,0.938260129,3,0.151,,
288,ALP,3,DM,NC100,1.074599117,3,0.173,,
289,ALP,3,DM,NC100,3.848406188,4,0.4633,,
290,ALP,3,DM,NC100,3.814349496,4,0.4592,,
291,ALP,3,DM,NC100,3.885785484,4,0.4678,,
292,ALP,3,DM,NC100,3.977157097,4,0.4788,,
293,ALP,3,DM,NC100,3.492887551,4,0.4205,,
294,ALP,3,DM,NC100,3.70387291,4,0.4459,,
295,ALP,3,DM,NC100,3.829301215,4,0.461,,
296,ALP,3,DM,NC100,3.831793168,4,0.4613,,
297,ALP,3,DM,NC200,1.326206523,2,0.214,,
298,ALP,3,DM,NC200,1.940971415,2,0.313,,
299,ALP,3,DM,NC200,1.51336277,2,0.244,,
300,ALP,3,DM,NC200,2.193818266,2,0.354,,
301,ALP,3,DM,NC200,1.411108529,2,0.228,,
302,ALP,3,DM,NC200,2.071113177,2,0.334,,
303,ALP,3,DM,NC200,1.293361221,2,0.209,,
304,ALP,3,DM,NC200,1.810209931,2,0.292,,
305,ALP,3,DM,NC200,3.981310352,4,0.2442,,
306,ALP,3,DM,NC200,3.254490707,4,0.247,,
307,ALP,3,DM,NC200,3.022739072,4,0.4141,,
308,ALP,3,DM,NC200,3.628283667,4,0.3401,,
309,ALP,3,DM,NC200,3.45966151,4,0.6123,,
310,ALP,3,DM,NC200,3.390717475,4,0.2518,,
311,ALP,3,DM,NC200,3.025231025,4,0.328,,
312,ALP,3,DM,NC200,4.265393002,4,0.4442,,
313,ALP,3,DM,NC200,3.764510435,4,0.5358,,
314,ALP,3,DM,NC200,3.065932925,4,1.0668,,
315,ALP,3,DM,NC200,2.906447929,4,0.5832,,
316,ALP,3,DM,NC200,3.401515938,4,0.6185,,
317,ALP,3,DM,NC200,3.25698266,4,0.7057,,
318,ALP,3,DM,NC200,2.998650192,4,0.5083,,
319,ALP,3,DM,NC200,2.827536081,4,0.4128,,
320,ALP,3,DM,NC200,4.229675008,4,1.1732,,
321,ALP,3,DM,P30,1.169736118,2,0.7758,,
322,ALP,3,DM,P30,0.869386241,2,0.5766,,
323,ALP,3,DM,P30,0.945981491,2,0.6274,,
324,ALP,3,DM,P30,0.407553071,2,0.2703,,
325,ALP,3,DM,P30,1.171847011,2,0.7772,,
326,ALP,3,DM,P30,0.882805487,2,0.5855,,
327,ALP,3,DM,P30,0.967391974,2,0.6416,,
328,ALP,3,DM,P30,0.399712613,2,0.2651,,
329,ALP,3,DM,P30,0.832907274,3,0.134,,
330,ALP,3,DM,P30,0.859555349,3,0.139,,
331,ALP,3,DM,P30,0.78332946,3,0.126,,
332,ALP,3,DM,P30,0.789526687,3,0.127,,
333,ALP,3,DM,P30,0.858935626,3,0.139,,
334,ALP,3,DM,P30,0.912231776,3,0.147,,
335,ALP,3,DM,P30,0.813076148,3,0.131,,
336,ALP,3,DM,P30,0.829188938,3,0.134,,
337,ALP,3,DM,P30,1.105596511,4,0.1331,,
338,ALP,3,DM,P30,1.108088464,4,0.1334,,
339,ALP,3,DM,P30,1.078185028,4,0.1298,,
340,ALP,3,DM,P30,0.925345239,4,0.1114,,
341,ALP,3,DM,P30,0.97435365,4,0.1173,,
342,ALP,3,DM,P30,1.025854013,4,0.1235,,
343,ALP,3,DM,P30,1.060741356,4,0.1277,,
344,ALP,3,DM,P30,0.912885474,4,0.1099,,
345,ALP,3,DM,P100,0.948846274,2,0.6293,,
346,ALP,3,DM,P100,0.452635708,2,0.3002,,
347,ALP,3,DM,P100,0.959853071,2,0.6366,,
348,ALP,3,DM,P100,0.778014742,2,0.516,,
